Lake,Age,Asteraceae,Betulaceae,Brassicaceae,Caryophyllaceae,Chenopodiaceae,Cyperaceae,Dryopteridaceae,Ericaceae,Fabaceae,Lentibulariaceae,Onagraceae,Orchidaceae,Orobanchaceae,Papaveraceae,Pinaceae,Plantaginaceae,Poaceae,Polygonaceae,Ranunculaceae,Rosaceae,Salicaceae,Saxifragaceae,Lycopodiaceae,Apiaceae,Equisetaceae,Athyriaceae,Grossulariaceae,Polygalaceae
Lama,0.712,2.073929101,11.40187506,0.6913097,0.309353199,0,3.901638309,0,2.967265381,2.042362448,0,0,0,0.536633101,1.297389438,3.320811894,1.351052748,3.058808675,1.246882793,0.861769627,17.67732567,38.76384987,1.698285931,0.129423277,0.937529594,0.827046308,0,0,0
Lama,1.195,1.900549845,13.82580285,0.705235477,0.278906686,0,3.597896247,0,2.944457726,1.426408479,0,0,0,0.470156985,1.135548649,4.147740856,0.677344808,3.115786118,0.828751295,1.382580285,13.80588095,42.05514384,1.159454937,0.175312774,0.61757909,0.860626345,0,0,0
Lama,1.817,1.030077563,15.5915488,0.442213877,0.217597305,0,2.69539887,0,3.111290492,1.252939318,0,0,0,0.319376689,0.82300916,4.215070368,0.545748078,2.741024111,0.507142105,1.57056119,11.32032429,47.01681115,0.923033728,0.314112238,0.389569368,0.844066964,0,0,0
Lama,2.482,1.014177575,17.12600895,0.4621304,0.209108778,0,3.002802058,0,2.404750951,1.524402994,0,0,0,0.230019656,0.583413492,4.395466522,0.543682824,2.262556982,0.516498683,1.177282422,12.23286354,45.41424449,0.784157919,0.257203797,0.476768015,0.926351888,0,0,0
Lama,3.025,1.441806487,18.03339956,0.460276559,0.190798403,0,2.71248451,0,2.437105372,1.172328331,0,0,0,0.33242196,0.605834104,4.404099215,0.542890301,2.163693228,0.536989319,1.154625386,10.84403706,45.31953815,0.800566494,0.043273865,0.428804658,1.073978638,0,0,0
Lama,4.322,0.87694294,22.09292577,0.380623418,1.418534851,0,1.891379802,0,1.738795084,1.094921109,0,0,0,0.212947903,0.35211858,5.114103188,0.285048374,2.10935797,0.321936988,1.237445296,7.208370362,47.14532437,0.52817787,0.558359463,0.280018109,0.772984121,0,0,0
Lama,5.149,0.733677895,21.59448702,0.442583021,1.474781679,0,1.756965484,0,1.627755005,0.981702608,0,0,0,0.20049902,0.399512862,4.162953722,0.215350799,2.054001069,0.371294481,1.560921998,7.451137646,48.89948316,0.39357215,0.634170974,0.24356918,0.755955563,0,0,0
Lama,6.379,0.829883399,17.85388735,0.247825592,0.086406624,0,1.759466748,0,0.799498652,0.637130161,0,0,0,0.078810437,0.259219872,3.276805044,0.251623685,1.564814463,0.275361768,1.711990581,7.095787914,58.43651487,0.306696039,0.48045881,0.191803715,0.498499753,0,0,0
Lama,6.869,0.887499651,18.50260017,0.290251458,0.059538761,0,2.274566716,0,0.674462523,0.767491837,0,0,0,0.078144623,0.198152438,3.782571888,0.210246249,1.014949811,0.305136148,1.137748505,9.492711153,55.47989171,0.396304876,0.573060571,0.183267748,0.603760245,0,0,0
Lama,7.569,0.85457028,15.47440586,0.224384375,0.066360485,0,1.942595793,0,0.592470233,1.189237189,0,0,0,0.128901662,0.348989315,3.596833793,0.229635924,0.945756271,0.319389674,0.948620752,11.52142155,57.45338057,0.506058378,0.042967221,0.17139147,0.518948544,0,0,0
Lama,8.491,0.571793614,14.82299591,0.214591309,3.245862257,0,1.703684042,0,0.888057116,1.461650239,0,0,0,0.179950783,0.462473513,4.020100503,0.179950783,1.03246762,0.439529789,0.80168074,13.97407809,52.04761498,0.476419699,0.493515024,0.146659889,0.339207227,0,0,0
Lama,9.157,0.358167877,15.84303764,0.276401921,0.307505973,0,1.679854471,0,0.467503334,2.715478036,0,0,0,0.377018818,0.666852034,2.773915953,0.159526087,1.415941298,0.504498306,0.683582244,19.90258776,47.44428369,0.80540645,0.839809417,0.065978293,0.39068575,0,0,0
Lama,9.805,0.710000882,16.72126282,0.202396495,0.135934734,0,2.50661929,0,0.815393318,0.964448335,0,0,0,0.146904151,0.365217055,1.032630789,0.192717598,1.629711203,0.360915323,1.392040505,13.60186179,55.9451013,0.452757303,0.100445444,0.096143712,0.412536108,0,0,0
Lama,10.086,0.403821021,17.24207636,0.222516822,0.114705855,0,1.94529847,0,0.749505605,1.355785594,0,0,0,0.180207285,0.402410703,0.704375433,0.145419444,1.220708481,0.42027473,0.730387963,13.88238576,57.63561773,0.413849948,0.007678397,0.070986,0.345057776,0,0,0
Lama,10.402,0.230865155,2.211474728,1.179602979,0.140990642,0,2.830485435,0,0.066282453,15.4589779,0,0,0,1.940727759,2.546257288,0.062912159,0.14773123,3.415231483,0.548796243,0.1072877,40.54407783,26.2321234,1.13241886,0.004493726,0.147169515,0.07976363,0,0,0
Lama,11.508,0.420666446,7.390856596,0.474456582,0.228493141,0,2.018739196,0,1.441759535,3.375905697,0,0,0,0.336992902,0.859262937,1.568189341,0.214700798,1.931847438,0.497903564,0.415149509,18.27853176,55.48153665,0.57881864,0.890065835,0.06482401,0.489168414,0,0,0
Lama,11.769,0.630677171,0.788238839,1.02372035,0.275948168,0,4.11124026,0,0.092556718,9.504068191,0,0,0,1.359938009,3.723363038,0.226441087,0.269060226,4.12071118,1.48994791,0.198028327,41.5032933,26.76309785,2.610960437,0.000430496,0.183821947,0.021955314,0,0,0
Lama,12.977,0.269176916,5.214430055,0.503834026,0.250753424,0,2.569592317,0,0.117522486,5.194649042,0,0,0,0.35140387,0.798415968,0.023077848,0.110540953,1.009801298,0.65742777,0.070591064,44.85344597,35.25112189,0.763508298,0.019781013,0.104723008,0.201882687,0,0,0
Lama,13.553,0.440678952,0.517259764,0.99419343,0.228966935,0,2.992274062,0,0.115743658,6.774396805,0,0,0,2.057794279,3.594645159,0.007755019,0.217722157,2.517666903,1.463565952,0.189610213,44.96127337,29.55670373,2.506422125,0.000969377,0.134355703,0.024622185,0,0,0
Lama,13.743,0.199583664,2.647166127,0.960362255,1.480782025,0,3.479837758,0,0.271476705,20.30388222,0,0,0,0.878811941,3.464815331,0.011803335,0.170611842,5.38124772,0.5214928,0.090134558,35.46043737,21.82329335,1.155653797,0.037556066,0.136274867,0.082623345,0,0,0
Lama,13.956,0.248437953,2.280894483,1.187927086,0.321320179,0,3.257622709,0,0.212528827,14.35886251,0,0,0,1.089775475,15.776342,0.007713812,0.222636581,3.240599124,0.414417913,0.094161708,34.81004072,20.31738347,1.021149145,0.002659935,0.137518653,0.080862032,0,0,0
